Project_ID,dataset_link,Pubmed,pub_link,isInstrumentOK,isEnriched,phosphatase_inhib,biological_sample,cell_type,primary_type,labelling,labeltype,enzymes,fixed_modifications,variable_modifications,Tissue annotation (as provided by the user- so be careful as might be incorrect),PROJECT.size,Title,Description snipped,Publication_date,Submission Type,No of ASSAY files(applicable for COMPLETE only),PTM annotation (as provided by the user- so be careful as might be incorrect),MS instrument annotation (as provided by the user- so be careful as might be incorrect),Internal PRIDE Tag (curated)
PXD001381,https://www.ebi.ac.uk/pride/archive/projects/PXD001381,25405705,http://europepmc.org/abstract/MED/25405705,TRUE,ERLIC,FALSE,HeLa,HeLa,Cervical,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture""]",41.79,Highly sensitive phosphoproteomics by tailoring solid-phase extraction to electrostatic repulsion-hydrophilic interaction chromatography,The dataset contains the data of key experiments for developing,2014-12-02,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""acetylated residue""]","[""LTQ Orbitrap Velos""]","[""Biomedical""]"
PXD001559,https://www.ebi.ac.uk/pride/archive/projects/PXD001559,26055452,http://europepmc.org/abstract/MED/26055452,TRUE,TiO2,FALSE,HeLa,HeLa,Cervical,SILAC,"[""Arg10"",""Lys8""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox""]","[""cell culture""]",24.08,Global phosphoproteomic mapping of early mitotic exit in human cells identifies novel substrate dephosphorylation motifs,Entry into mitosis is driven by the coordinated phosphorylation,2015-06-25,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""acetylated residue""]","[""LTQ Orbitrap Velos""]","[""Biological""]"
PXD005181,https://www.ebi.ac.uk/pride/archive/projects/PXD005181,27916117,http://europepmc.org/abstract/MED/27916117,TRUE,IMAC,TRUE,HeLa (and others),HeLa,Cervical,dimethyl,"[""DiMe4""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture""]",21.85,Specific mixing facilitates the comparative quantification of phosphorylation sites with significant dysregulations,It is still a big challenge to accurately quantify the proteins,2016-12-06,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue""]","[""LTQ Orbitrap Velos""]","[""Technical""]"
PXD000474,https://www.ebi.ac.uk/pride/archive/projects/PXD000474,25774671,http://europepmc.org/abstract/MED/25774671,TRUE,TiO2,FALSE,HeLa,HeLa,Cervical,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""HeLa cell""]",9.04,Simulated phosphopeptide spectral library for confident site localization,We have developed a new workflow to unambiguously localize phosp,2015-03-17,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue""]","[""LTQ Orbitrap Velos"",""Q Exactive""]","[""Technical"",""Biomedical""]"
PXD004940,https://www.ebi.ac.uk/pride/archive/projects/PXD004940,28266123,http://europepmc.org/abstract/MED/28266123,TRUE,TiO2,FALSE,HeLa,HeLa,Cervical,label-free,NA,"[""Lys-C""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]",,,,,2017-03-09,,,,,
PXD004452,https://www.ebi.ac.uk/pride/archive/projects/PXD004452,28601559,http://europepmc.org/abstract/MED/28601559,TRUE,TiO2,FALSE,HeLa,HeLa,Cervical,label-free,NA,"[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox"",""N-acetylation"",""pyro-glu""]",,,,,,,,,,
PXD000293,https://www.ebi.ac.uk/pride/archive/projects/PXD000293,24850871,http://europepmc.org/abstract/MED/24850871,TRUE,TiO2 + IMAC,FALSE,Jurkat (HeLa cells in another entry),Jurkat,Leukemia ALL,label-free,NA,"[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture"",""cell suspension culture""]",69.9,Ti4+-IMAC label-free quantification,We combine high-resolution mass spectrometry with Ti4+-IMAC phos,2014-05-21,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""acetylated residue""]","[""LTQ Orbitrap Elite""]","[""PRIME-XS Project"",""Biological""]"
PXD002055,https://www.ebi.ac.uk/pride/archive/projects/PXD002055,28148733,http://europepmc.org/abstract/MED/28148733,TRUE,TiO2,FALSE,Jurkat E6.1,Jurkat,Leukemia ALL,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]",[],33.79,Dynamic interaction- and phosphoproteomics of CD147,"Using affinity purification, mass spectrometry, and phospho-enri",2017-02-06,PARTIAL,0,"[""phosphorylated residue""]","[""LTQ Orbitrap""]",[]
PXD002871,https://www.ebi.ac.uk/pride/archive/projects/PXD002871,26546556,http://europepmc.org/abstract/MED/26546556,TRUE,TiO2 + IMAC,FALSE,Jurkat cell lines (JE6.1 and Jgamma1),Jurkat,Leukemia ALL,TMT,"[""TMT6plex""]","[""Trypsin""]","[""carbamidomethylation"",""TMT6plex""]","[""pSTY"",""Meth_ox""]","[""cell suspension culture""]",31.4,Phosphoproteomics quantitative characterization in Jurkat E6.1 and Jurkat Gamma1.,"Phosphorylation is a reversible post-translational modification,",2015-11-10,PARTIAL,0,"[""phosphorylated residue""]","[""LTQ Orbitrap""]","[""Biological"",""Human Proteome Project""]"
PXD000341,https://www.ebi.ac.uk/pride/archive/projects/PXD000341,24204825,http://europepmc.org/abstract/MED/24204825,TRUE,TiO2,FALSE,Jurkat cells transfected with LAT,Jurkat,Leukemia ALL,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]",[],29.91,Site-specific quantitation of TCR-induced phosphorylation in Jurkat T cell lines,The LC-MSMS data correspond to an investigation where we compare,2013-11-15,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""acetylated residue""]","[""LTQ Orbitrap""]",[]
PXD001094,https://www.ebi.ac.uk/pride/archive/projects/PXD001094,25316710,http://europepmc.org/abstract/MED/25316710,TRUE,anti-P-Tyr,FALSE,Jurkat cell lines (SLP-76 wt and deficient),Jurkat,Leukemia ALL,SILAC,"[""Arg10"",""Lys8""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox""]","[""cell culture""]",6.38,Phosphoproteomics study of N-terminal tyrosine sites of SLP-76,Glocal dynamics of TCR signaling in Jurkat cell lines in SLP76 w,2014-10-15,PARTIAL,0,"[""phosphorylated residue""]","[""LTQ Orbitrap Velos""]","[""Biological""]"
PXD002022,https://www.ebi.ac.uk/pride/archive/projects/PXD002022,26043137,http://europepmc.org/abstract/MED/26043137,TRUE,anti-P-Tyr,FALSE,Jurkat derived cell lines: J.Vav1 and J.Vav1.WT,Jurkat,Leukemia ALL,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox""]",[],5.88,Vav1 regulates T cell activation through a feedback mechanism and crosstalk between the T cell receptor and CD28 in CD3-stimulated T cells,"Vav1, a Rac/Rho guanine nucleotide exchange factor and a critica",2016-05-31,PARTIAL,0,"[""phosphorylated residue""]","[""LTQ Orbitrap Velos""]","[""Biological""]"
PXD002023,https://www.ebi.ac.uk/pride/archive/projects/PXD002023,25990959,http://europepmc.org/abstract/MED/25990959,TRUE,anti-P-Tyr,FALSE,Jurkat T cell leukemia cell line expressing ZAP70,Jurkat,Leukemia ALL,SILAC,"[""Arg10"",""Lys8""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox""]","[""JURKAT cell""]",3.94,The catalytic activity of the kinase Zap-70 mediates basal signaling and negative feedback of the T cell receptor pathway,T cell activation must be properly regulated to ensure normal T,2016-05-31,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""6x(13)C,2x(15)N labeled L-lysine"",""monohydroxylated residue"",""6x(13)C,4x(15)N labeled L-arginine""]","[""LTQ Orbitrap Velos""]","[""Biological""]"
PXD004415,https://www.ebi.ac.uk/pride/archive/projects/PXD004415,28464451,http://europepmc.org/abstract/MED/28464451,TRUE,TiO2,FALSE,Jurkat T cell,Jurkat,Leukemia ALL,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]",,,,,2017-05-11,,,,,
PXD004447,https://www.ebi.ac.uk/pride/archive/projects/PXD004447,28111955,http://europepmc.org/abstract/MED/28111955,TRUE,TiO4 + IMAC,FALSE,Jurkat T Cell lysate,Jurkat,Leukemia ALL,label-free,NA,"[""Trypsin"", ""LysargiNase""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]",,,,,2016-12-02,,,,,
PXD001428,https://www.ebi.ac.uk/pride/archive/projects/PXD001428,26074081,http://europepmc.org/abstract/MED/26074081,TRUE,TiO4 + IMAC,FALSE,Jurkat T cells,Jurkat,Leukemia ALL,label-free,NA,"[""trypsin_KR"",""LysC_K"",""AspN_DE"",""GluC_DE"",""chymotrypsin_FLWYM""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]",,,,,2015-05-27,,,,,
PXD003822,https://www.ebi.ac.uk/pride/archive/projects/PXD003822,27107777,http://europepmc.org/abstract/MED/27107777,TRUE,IMAC + SIMAC + MOAC ,FALSE,AML primary cells,Primary-AML,Leukemia AML,label-free & super-SILAC,"[""Arg6"",""Lys8""]","[""Trypsin"",""LysC""]",,"[""pSTY""]",[],133.87,"Human AML patient samples, Method Optimization, LC-MSMS",We evaluated different in-solution and filter-aided sample prepa,2016-04-26,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""6x(13)C,2x(15)N labeled L-lysine"",""monohydroxylated residue"",""acetylated residue"",""6x(13)C labeled L-arginine""]","[""LTQ Orbitrap Elite""]","[""Technical"",""Biomedical""]"
PXD000225,https://www.ebi.ac.uk/pride/archive/projects/PXD000225,23879269,http://europepmc.org/abstract/MED/23879269,TRUE,TiO2,FALSE,AML cell line U937,U937,Leukemia AML,SILAC,"[""Arg10"",""Lys8""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox""]",[],109.55,Phosphoproteomics study on protein kinase C delta induced cell death,The proteolytic activation of protein kinase C delta generates a,2013-07-25,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""6x(13)C,2x(15)N labeled L-lysine"",""monohydroxylated residue"",""6x(13)C,4x(15)N labeled L-arginine""]","[""LTQ Orbitrap""]",[]
PXD001170,https://www.ebi.ac.uk/pride/archive/projects/PXD001170,28176486,http://europepmc.org/abstract/MED/28176486,TRUE,anti-P-Tyr,FALSE,12 AML cell lines,Primary-AML,Leukemia AML,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""blood""]",65.33,AML_profiling,LC-MS/MS was used to profile total phosphotyrosine phosphatase i,2017-02-16,PARTIAL,0,"[""L-cysteine sulfenic acid"",""phosphorylated residue""]","[""LTQ Orbitrap Elite""]","[""Biomedical""]"
PXD000185,https://www.ebi.ac.uk/pride/archive/projects/PXD000185,23532336,http://europepmc.org/abstract/MED/23532336,TRUE,TiO2,TRUE,2 AML cell lines (P31/Fuj and Kasumi-1),P31_FUJ/Kasumi-1/Primary,Leukemia AML,label-free,NA,"[""Trypsin""]",,"[""pSTY"",""Meth_ox"",""pyro-glu""]",[],59.76,Kinase Substrate Enrichment Analysis Provides Insights into the Heterogeneity of Signaling Pathway Activation in Leukemia Cells,Experiments were performed in AML (Acute Myeloid Leukemia) cell,2013-04-08,COMPLETE,17,"[""N-formylated residue"",""phosphorylated residue"",""iodoacetamide - site C"",""monohydroxylated residue"",""2-pyrrolidone-5-carboxylic acid (Gln)""]","[""LTQ Orbitrap"",""LTQ-Orbitrap""]",[]
PXD004442,https://www.ebi.ac.uk/pride/archive/projects/PXD004442,28450419,http://europepmc.org/abstract/MED/28450419,TRUE,IMAC,FALSE,"AML cell lines (MV4;11, MONO-MAC-1 and SKM-1)",MV-4-11/Mono-Mac-1/SKM-1,Leukemia AML,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]",,,,,2017-05-02,,,,,
PXD002496,https://www.ebi.ac.uk/pride/archive/projects/PXD002496,26307563,http://europepmc.org/abstract/MED/26307563,TRUE,TiO2 + ERLIC,FALSE,Leukemia THP-1,THP1,Leukemia AML-M5,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture""]",39.77,Selective phospohorylation of macrophage differentiation,The differentiation of macrophages from monocytes is a tightly c,2015-09-02,PARTIAL,0,"[""phosphorylated residue""]","[""LTQ Orbitrap""]","[""Biological""]"
PXD002839,https://www.ebi.ac.uk/pride/archive/projects/PXD002839,27067055,http://europepmc.org/abstract/MED/27067055,TRUE,TiO2,FALSE,Human leukemic Kit225,Kit225,Leukemia CLL,SILAC,"[""Arg6"",""Lys4""]","[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""deamidation"",""Meth_ox""]",[],52.16,Nuclear phosphoproteomics analysis of resting and IL-2-stimulated T lymphocytes,The aim of the present project was to study in detail the site-s,2016-04-18,PARTIAL,0,"[""phosphorylated residue""]","[""Q Exactive""]","[""Biological""]"
PXD001129,https://www.ebi.ac.uk/pride/archive/projects/PXD001129,25142963,http://europepmc.org/abstract/MED/25142963,TRUE,TiO2,FALSE,Leukemic T-cell line Kit225,Kit225,Leukemia CLL,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""deamidation"",""Meth_ox""]",[],45,Dissection of IL-2 and IL-15 signaling pathways,The aim of this study was to compare the signaling cascades init,2014-09-23,PARTIAL,0,"[""phosphorylated residue""]","[""Q Exactive""]","[""Biomedical""]"
PXD002990,https://www.ebi.ac.uk/pride/archive/projects/PXD002990,27080861,http://europepmc.org/abstract/MED/27080861,TRUE,TiO2 + IMAC,FALSE,Kit225 lymphocytic cells,Kit225,Leukemia CLL,dimethyl,"[""DiMe4""]","[""Trypsin""]","[""carbamidomethylation"", ""DiMe4""]","[""pSTY"",""N-acetylation"",""Meth_ox""]",,,,,2016-04-21,,,,,
PXD000217,https://www.ebi.ac.uk/pride/archive/projects/PXD000217,23628362,http://europepmc.org/abstract/MED/23628362,TRUE,IMAC,FALSE,"3 AML, 3 lymphoma, 3 multiple myeloma samples",9 cell lines,Leukemia,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox"",""pyro-glu""]",[],41.24,Phosphoproteomics data classify haematological cancer cell lines according to tumour type and sensitivity to kinase inhibitors,"Acute myeloid leukemia, lymphoma and multiple myeloma cell lines",2013-04-25,COMPLETE,75,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""deaminated residue"",""monohydroxylated residue""]","[""LTQ Orbitrap""]",[]
PXD003492,https://www.ebi.ac.uk/pride/archive/projects/PXD003492,27155012,http://europepmc.org/abstract/MED/27155012,TRUE,TiO2 + anti-P-Tyr,FALSE,Burkitt’s lymphoma (DG75 and Daudi cells),DG75/Daudi,Lymphoma,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell suspension culture""]",392.21,Elucidation of tonic and activated B cell receptor signaling in BurkittÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s lymphoma provides insights into regulation of cell survival,B-cell receptor (BCR) signaling promotes the survival of maligna,2016-05-09,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""acetylated residue""]","[""LTQ Orbitrap Velos"",""Q Exactive""]",[]
PXD004181,https://www.ebi.ac.uk/pride/archive/projects/PXD004181,28064214,http://europepmc.org/abstract/MED/28064214,TRUE,anti-P-Tyr,FALSE,Burkitt lymphoma (DG75 and Daudi cells),DG75/Daudi,Lymphoma,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""deamidation"",""Meth_ox""]","[""cell culture""]",40.75,HSP90 promotes Burkitt lymphoma cell survival by maintaining tonic B cell receptor signaling,BurkittÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢s lymphoma (BL) is an aggressive B-cell neoplasm that is,2017-01-02,PARTIAL,0,"[""phosphorylated residue""]","[""Q Exactive""]","[""Biomedical""]"
PXD000658,https://www.ebi.ac.uk/pride/archive/projects/PXD000658,24667141,http://europepmc.org/abstract/MED/24667141,TRUE,TiO2 + anti-P-Tyr,FALSE,"11 cell lines from Burkitt lymphoma (BL), follicular lymphoma (FL)  and mantle-cell lymphoma (MCL) mzXML files",,Lymphoma,label-free,NA,"[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""Meth_ox""]",[],21.85,Global phosphoproteomic profiling reveals distinct signatures in B-cell non-Hodgkin lymphomas,Ammonium hydroxide and pyrrolidine eluents were dried (SpeedVac),2014-01-09,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue""]","[""LTQ Orbitrap XL""]",[]
PXD000314,https://www.ebi.ac.uk/pride/archive/projects/PXD000314,24313913,http://europepmc.org/abstract/MED/24313913,TRUE,IMAC,FALSE,Human Raji B cells (wiff files),,Lymphoma,label-free,NA,"[""Trypsin""]",,"[""pSTY"",""Meth_ox""]","[""lung"",""cell culture""]",19.99,Sequential Phosphoproteomic Enrichment by Complementary Metal-directed Immobilized Metal Ion Affinity Chromatography: Case Study on Kinase Substrate Mapping in Human Lung Cancer Tissue,Abstract: Despite recent advances in instrumentation and analyti,2014-01-29,COMPLETE,29,"[""phosphorylated residue"",""monohydroxylated residue""]","[""TT5600""]",[]
PXD003660,https://www.ebi.ac.uk/pride/archive/projects/PXD003660,26929352,http://europepmc.org/abstract/MED/26929352,TRUE,anti-P-Tyr,FALSE,"Breast cancer cell line, MCF-10A",MCF10A,Breast,TMT,"[""TMT10plex""]","[""Trypsin""]","[""carbamidomethylation"",""TMT10plex""]",,"[""cell culture""]",35.17,Early Signaling Dynamics of EGFR,Despite extensive study of the epidermal growth factor receptor,2016-06-24,COMPLETE,30,"[""phosphorylated residue"",""iodoacetamide derivatized residue"",""monohydroxylated residue"",""TMT6plex-126 reporter+balance reagent acylated residue""]","[""Q Exactive""]","[""Biological""]"
PXD000599,https://www.ebi.ac.uk/pride/archive/projects/PXD000599,25247763,http://europepmc.org/abstract/MED/25247763,TRUE,TiO2,FALSE,"Breast cancer cell line, MCF10A with PIK3CA mutations",MCF10A,Breast,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""cell culture""]",33.67,Phosphoproteomic analysis of breast epithelial cells with isogenic knockin of PIK3CA mutations,The PIK3CA gene is frequently mutated in human cancers. To study,2015-07-28,PARTIAL,0,"[""phosphorylated residue"",""6x(13)C,2x(15)N labeled L-lysine"",""6x(13)C,4x(15)N labeled L-arginine"",""(4,4,5,5-(2)H4)-L-lysine"",""6x(13)C labeled L-arginine""]","[""LTQ Orbitrap Velos""]","[""Biomedical""]"
PXD000275,https://www.ebi.ac.uk/pride/archive/projects/PXD000275,23770244,http://europepmc.org/abstract/MED/23770244,TRUE,TiO2,FALSE,"Breast cancer cell line, MCF7",MCF7,Breast,SILAC,"[""Arg10"",""Lys8"",""Arg6"",""Lys4""]","[""Trypsin"",""LysC""]","[""carbamidomethylation""]","[""pSTY"",""N-acetylation"",""Meth_ox""]","[""breast cancer cell""]",37.94,Phosphoproteome of MCF7 breast cancer cells treated with estradiol and BI2536,Triple SILAC phosphoproteome experiment of hormone deprived MCF7,2016-06-24,PARTIAL,0,"[""iodoacetamide derivatized residue"",""phosphorylated residue"",""monohydroxylated residue"",""6x(13)C labeled residue"",""acetylated residue""]","[""LTQ Orbitrap Velos""]","[""Biomedical""]"
